Permission,Category,Admin,Teacher,Assistant,UniTeacher,SuppAgent,Student,Ambassador,Anonymous
users:list,Identity,Yes,No,No,No,No,No,No,No
users:read,Identity,Yes,Yes,Yes,No,Yes,No,No,No
users:create,Identity,Yes,No,No,No,No,No,No,No
users:update,Identity,Yes,No,No,No,No,No,No,No
users:delete,Identity,Yes,No,No,No,No,No,No,No
users:assign-roles,Identity,Yes,No,No,No,No,No,No,No
users:export,Identity,Yes,No,No,No,No,No,No,No
profile:read,Identity,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
profile:update,Identity,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
courses:list-public,Catalog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
courses:read-public,Catalog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
courses:create,Catalog,Yes,Yes,No,No,No,No,No,No
courses:update,Catalog,Yes,Yes,No,No,No,No,No,No
courses:delete,Catalog,Yes,No,No,No,No,No,No,No
courses:publish,Catalog,Yes,Yes,No,No,No,No,No,No
modules:create,Catalog,Yes,Yes,No,No,No,No,No,No
modules:update,Catalog,Yes,Yes,No,No,No,No,No,No
chapters:create,Catalog,Yes,Yes,Yes,No,No,No,No,No
chapters:update,Catalog,Yes,Yes,Yes,No,No,No,No,No
chapters:read-content,Catalog,Yes,Yes,Yes,Yes,Yes,Yes,No,No
search:query,Catalog,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
search:reindex,Catalog,Yes,No,No,No,No,No,No,No
enrollments:read-own,Enrollment,Yes,No,No,No,No,Yes,No,No
enrollments:read-any,Enrollment,Yes,Yes,Yes,No,Yes,No,No,No
enrollments:update-progress,Enrollment,Yes,No,No,No,No,Yes,No,No
bookmarks:manage,Enrollment,Yes,No,No,No,No,Yes,No,No
exams:take,Assessment,Yes,No,No,No,No,Yes,No,No
exams:review-own,Assessment,Yes,No,No,No,No,Yes,No,No
exams:list-available,Assessment,Yes,Yes,Yes,Yes,Yes,Yes,No,No
exams:create,Assessment,Yes,Yes,No,No,No,No,No,No
exams:update,Assessment,Yes,Yes,No,No,No,No,No,No
questions:create,Assessment,Yes,Yes,Yes,No,No,No,No,No
questions:update,Assessment,Yes,Yes,Yes,No,No,No,No,No
questions:import,Assessment,Yes,Yes,No,No,No,No,No,No
review-cards:manage,Assessment,Yes,No,No,No,No,Yes,No,No
packages:list-public,Payment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
checkout:initiate,Payment,Yes,No,No,No,No,Yes,No,No
subscriptions:read-own,Payment,Yes,No,No,No,No,Yes,No,No
subscriptions:read-any,Payment,Yes,No,No,No,Yes,No,No,No
subscriptions:create,Payment,Yes,No,No,No,No,No,No,No
subscriptions:update,Payment,Yes,No,No,No,No,No,No,No
payments:read-own,Payment,Yes,No,No,No,No,Yes,No,No
payments:read-any,Payment,Yes,No,No,No,No,No,No,No
coupons:manage,Payment,Yes,No,No,No,No,No,No,No
coupons:validate,Payment,Yes,No,No,No,No,Yes,No,No
revenue:view,Payment,Yes,No,No,No,No,No,No,No
notifications:read-own,Communication,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
notifications:manage-prefs,Communication,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
announcements:create,Communication,Yes,No,No,No,No,No,No,No
announcements:read,Communication,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
chat:send,Communication,Yes,Yes,Yes,Yes,Yes,Yes,No,No
chat:read-own,Communication,Yes,Yes,Yes,Yes,Yes,Yes,No,No
chat:read-any,Communication,Yes,No,No,No,Yes,No,No,No
certificates:read-own,Certificate,Yes,No,No,No,No,Yes,No,No
certificates:download-own,Certificate,Yes,No,No,No,No,Yes,No,No
certificates:verify,Certificate,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
certificates:issue,Certificate,Yes,No,No,No,No,No,No,No
certificates:manage-templates,Certificate,Yes,No,No,No,No,No,No,No
ambassador:dashboard,Ambassador,No,No,No,No,No,No,Yes,No
ambassador:referrals,Ambassador,No,No,No,No,No,No,Yes,No
ambassador:request-payout,Ambassador,No,No,No,No,No,No,Yes,No
ambassador:manage-any,Ambassador,Yes,No,No,No,No,No,No,No
analytics:view-overview,Analytics,Yes,No,No,No,No,No,No,No
analytics:view-registrations,Analytics,Yes,No,No,No,No,No,No,No
analytics:view-exams,Analytics,Yes,Yes,No,No,No,No,No,No
analytics:view-student,Analytics,Yes,Yes,Yes,No,No,No,No,No
analytics:export,Analytics,Yes,No,No,No,No,No,No,No
audit-logs:read,System,Yes,No,No,No,No,No,No,No
system:info,System,Yes,No,No,No,No,No,No,No
system:health,System,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
