Feature_ID,Module,Feature_Name,Description,Status,Maturity,Key_Views,Notes
F-001,Core LMS,Course Browsing,"Students can browse and view available courses",Active,High,"Student/MyCourses.cshtml, Student/TakeCourse.cshtml","Core feature; image paths use ~/Images/ + filename"
F-002,Core LMS,Video Playback,"Video-based lectures with section/sub-section navigation",Active,High,"Student/TakeCourse.cshtml","YouTube embed; Focus Mode for distraction-free viewing"
F-003,Core LMS,Course Progress Tracking,"Track completion per section and course",Active,Medium,"Student/Progress.cshtml","Admin can view per-student progress"
F-004,Core LMS,Favorites/Bookmarks,"Students can favorite courses for quick access",Active,Medium,"Student/Favourites.cshtml",""
F-005,Core LMS,Study Schedule,"Students set study plans and goals",Active,Medium,"Student/StudySchedule.cshtml",""
F-006,Core LMS,Guideline Videos,"Tutorial/guideline video library",Active,Medium,"Student/GuidelineVideo.cshtml","Separate table tbl_GuidelineVideo"
F-007,Assessment,MCQ Exam Engine,"Full-screen USMLE-style exam with keyboard shortcuts, strike-through, lab values",Active,High,"Student/TakeExam.cshtml","1298 lines; strongest feature; standalone fullscreen"
F-008,Assessment,Mock Tests,"Practice exams with timed conditions",Active,High,"Student/MockTests.cshtml","ApexCharts for results visualization"
F-009,Assessment,Exam Results & Review,"Score calculation, detailed answer review, performance analytics",Active,High,"Student/ExamResult.cshtml","Per-question review with correct/incorrect flagging"
F-010,Assessment,Exam Creation Wizard,"Admin creates exams with 4-step wizard",Active,High,"Admin/CreateExam.cshtml","Question banks, manual + import modes"
F-011,Assessment,AI PDF Import,"Import MCQs from PDF via Gemini AI",Active,Medium,"Admin/CreateExam.cshtml","Google Gemini API integration"
F-012,Assessment,Exam Attempt Tracking,"Tracks per-attempt data for analytics",Active,Medium,"ExamAttemptContext","Separate EF context"
F-013,Auth,User Registration,"Multi-step registration wizard (7 steps)",Active,Medium,"Account/Register.cshtml","Collects CNIC; CSRF currently commented out"
F-014,Auth,Login,"Email/password authentication",Active,High,"Account/Login.cshtml","ASP.NET Identity cookie auth"
F-015,Auth,Social Login - Google,"OAuth2 via Google",Active,Medium,"Web.config OAuth settings","Google client ID/secret configured"
F-016,Auth,Social Login - Facebook,"OAuth2 via Facebook",Active,Medium,"Web.config OAuth settings","Facebook app ID/secret configured"
F-017,Auth,Password Reset,"Forgot password via email token",Active,Medium,"Account/ForgotPassword.cshtml",""
F-018,Auth,Role-Based Access,"6 roles: Admin, Teacher, Student, Assistant, UniTeacher, SuppAgent",Active,High,"ASP.NET Identity","[Authorize(Roles)] in controllers"
F-019,Auth,Device Management,"Track/limit login devices per student",Active,Medium,"Student portal","Admin approval for device deletion"
F-020,Enrollment,Package Management,"Admin configures packages with duration and pricing",Active,High,"Package/ views","tbl_Package, tbl_PackageDuration, tbl_PackageDetail"
F-021,Enrollment,Manual Enrollment,"Admin enrolls students after payment verification",Active,High,"Enrollment/Index.cshtml","Primary enrollment pathway currently"
F-022,Enrollment,JazzCash Payment,"3DS payment integration with JazzCash",Partial,Low,"Enrollment/JazzCash.cshtml","Appears sandbox; hardcoded test credentials"
F-023,Enrollment,Installment Plans,"Split payments tracked by admin",Active,Medium,"Package/AddInstallments.cshtml, Request/InstallmentList.cshtml",""
F-024,Enrollment,Subscription Display,"Students view active subscriptions and expiry",Active,Medium,"Student/MySubscriptions.cshtml","Shows PKR amount paid"
F-025,Enrollment,Coupon System,"Discount coupons for packages",Disabled,Low,"Admin views","Built but currently disabled in UI"
F-026,Communication,Real-Time Chat,"SignalR-based 1:1 and group messaging",Active,Medium,"Chat views, Hubs/","ChatHub.cs in Hubs folder"
F-027,Communication,Ticket System,"Student creates tickets; admin/agent responds",Active,Medium,"Student ticket views, SuppAgent views","Multi-channel support"
F-028,Communication,Notifications,"FCM push notifications",Active,Medium,"Firebase config in Web.config","Firebase Cloud Messaging integration"
F-029,Communication,Email System,"SMTP-based email (Gmail)",Active,Medium,"Web.config SMTP settings","Used for registration, password reset, notifications"
F-030,Communication,SMS Integration,"Multiple SMS providers configured",Active,Low,"Web.config SMS settings","Eocean, Lifetimesms providers"
F-031,Admin,Student Management,"View/search/manage all students",Active,High,"Admin/StudentList.cshtml, AllStudentList.cshtml, StudentDetail.cshtml","PII access; data masking for restricted roles"
F-032,Admin,Teacher Management,"Manage teacher accounts and assignments",Active,Medium,"Admin teacher views",""
F-033,Admin,Dashboard,"Admin overview with stats and quick actions",Active,Medium,"Admin/Index.cshtml",""
F-034,Admin,Billing & Invoicing,"Generate PDF invoices via Rotativa",Active,Medium,"Billing/Index.cshtml, Billing/InvoicePDF.cshtml","Rotativa HTML-to-PDF"
F-035,Admin,Reports,"Enrollment, email, progress reports",Active,Medium,"Report/ views, Admin/EnrollmentList.cshtml",""
F-036,Admin,Exam Management,"Create, edit, manage exams and question banks",Active,High,"Admin exam views","4-step creation wizard"
F-037,Certificate,Certificate Generation,"Rules-based + manual certificate issuance",Active,Medium,"Certificate/ Area views","Customizable templates; tbl_CertificateTemplate"
F-038,Certificate,Certificate Verification,"Public verification via unique token",Active,High,"Certificate/Verify/{token}","Institutional-grade feature"
F-039,Ambassador,Ambassador Program,"Referral/ambassador tracking system",Active,Low,"Ambassador/ Area views","Full CRUD; database tables created; not publicly promoted"
F-040,Ambassador,Referral Tracking,"Track referral codes and conversions",Active,Low,"Ambassador views","tbl_AmbassadorReferral, tbl_ReferralReward"
F-041,Content,Blog System,"Blog posts with categories and images",Active,Medium,"Blogs/ Area views","Images in /Images/Blog/"
F-042,Content,Landing Pages,"Public marketing pages",Active,Medium,"Landing/ Area views","OurPackages, homepage, about"
F-043,Content,FAQ,"Frequently asked questions",Partial,Low,"Landing FAQ section, Student FAQ","Structure exists; most answers empty"
F-044,Email Marketing,Campaign System,"Email marketing campaign management",Partial,Low,"EmailMarketing Area","Tables created; integration partial"
F-045,Daily Report,Daily Reports,"Daily activity/progress reports",Active,Medium,"DailyReport/ Area views","Images in /Images/DailyReports/"
F-046,File Manager,File Management,"Server-side file management",Active,Medium,"FileManager/ Area views",""
F-047,Teacher,Teacher Portal,"Dedicated teacher dashboard and tools",Active,Medium,"Teacher views, _LayoutTeacher.cshtml","Separate layout for teacher experience"
F-048,Teacher,Live Classes,"Zoom-integrated live class scheduling",Active,Medium,"Zoom settings in Web.config","Zoom SDK + API integration"
F-049,Support,Support Agent Portal,"Dedicated dashboard for support agents",Active,Medium,"SuppAgent/Index.cshtml","Agent categorization available"
F-050,Platform,Design System,"FAME 2026 CSS design system with tokens",Active,Medium,"Content/fame-2026.css","2138 lines; Clinical Teal + Orange palette"
F-051,Platform,Metronic Theme,"Bootstrap 5 Metronic admin/student theme",Active,High,"Views/Shared/_LayoutNew.cshtml","Sidebar + header + content container"
F-052,Platform,Mobile Responsive,"Responsive CSS with mobile breakpoints",Active,Medium,"fame-2026.css media queries","44px min tap targets; responsive grid"
