Issue_ID,Category,Severity,Title,Description,Location,Risk_ID,Phase,Effort,Status
ISS-001,Security,Critical,Plaintext secrets in Web.config,"All database passwords, API keys, OAuth secrets, SMTP credentials stored in plaintext in Web.config",Web.config,R-01,Phase 2,M,Open
ISS-002,Security,Critical,SA-level database access,"Production connection strings use SQL Server SA account with full admin privileges","Web.config connectionStrings",R-02,Phase 2,S,Open
ISS-003,Security,Critical,CSRF disabled on registration,"@Html.AntiForgeryToken() is commented out on the registration form",Views/Account/Register.cshtml,R-03,Phase 1,XS,Open
ISS-004,Security,Critical,Debug mode in production,"compilation debug=""true"" in production Web.config exposes detailed errors and disables optimizations",Web.config,R-04,Phase 1,XS,Open
ISS-005,Security,Critical,Stack traces exposed to users,"Error.cshtml displays @Model.Exception.StackTrace directly to end users",Views/Shared/Error.cshtml,R-05,Phase 1,XS,Open
ISS-006,Security,Critical,JazzCash credentials client-side,"Merchant ID (Merc0003), password (0123456789), and hash salt exposed in client-side JavaScript",Views/Enrollment/JazzCash.cshtml,R-06,Phase 1,S,Open
ISS-007,Security,High,No security headers,"Missing X-Frame-Options, X-Content-Type-Options, CSP, HSTS, Referrer-Policy headers",Web.config / IIS,R-09,Phase 1,S,Open
ISS-008,Security,High,No HTTPS enforcement,"Missing requireSSL on auth cookies and no HTTP-to-HTTPS redirect configuration",Web.config,R-10,Phase 1,XS,Open
ISS-009,Security,High,Excessive session timeout,"Session timeout set to 6000 minutes (~4 days) — allows prolonged session hijacking window",Web.config,R-11,Phase 1,XS,Open
ISS-010,Security,High,CORS allows all origins,"Access-Control-Allow-Origin set to * — allows any website to make authenticated requests",Web.config,R-12,Phase 1,XS,Open
ISS-011,Security,Medium,No CSRF on login form,"Login form does not include AntiForgeryToken — vulnerable to login CSRF attacks",Views/Account/Login.cshtml,R-03,Phase 3,XS,Open
ISS-012,Security,Medium,No rate limiting,"No visible rate limiting on login, registration, or API endpoints — vulnerable to brute force",Global,—,Phase 4,S,Open
ISS-013,Security,Medium,X-Powered-By header exposed,"Server reveals ASP.NET technology stack in response headers",Web.config,R-09,Phase 1,XS,Open
ISS-014,Brand,Critical,Social counters show 0K+,"Homepage social proof counters display 0K+ instead of actual values — contradicts 50K+ claim",Landing page JavaScript,R-13,Phase 1,S,Open
ISS-015,Brand,High,INSTAGARM misspelling,"Instagram social link labeled INSTAGARM in footer",Footer partial view,R-14,Phase 1,XS,Open
