Entity,Module,Table Name,Primary Key,Key Fields,Relationships,Notes
User,Identity,users,Id (Guid),Email; PasswordHash; FirstName; LastName; AvatarUrl; PhoneNumber; IsActive; EmailConfirmed; SecurityStamp; ConcurrencyStamp; CreatedAt; UpdatedAt,"Roles (M2M); Enrollments (1:M); Subscriptions (1:M); Payments (1:M); ExamAttempts (1:M); ReviewCards (1:M); Notifications (1:M); AuditLogs (1:M); ChatMessages (1:M); Certificates (1:M)",Central entity; ASP.NET Core Identity base
Role,Identity,roles,Id (Guid),Name; NormalizedName; Description; IsSystem,"Users (M2M); Permissions (M2M)",8 system roles + custom
Permission,Identity,permissions,Id (int),Name; Description; Category,"Roles (M2M)",40+ permissions across categories
ExamTrack,Catalog,exam_tracks,Id (Guid),Name; Slug; Description; IconUrl; DisplayOrder; IsActive,"Courses (1:M)",13+ exam tracks (PLAB; USMLE; etc.)
Course,Catalog,courses,Id (Guid),ExamTrackId; Title; Slug; Description; ThumbnailUrl; DurationHours; DifficultyLevel; Price; Currency; IsPublished; DisplayOrder; CreatedAt,"ExamTrack (M:1); Modules (1:M); Enrollments (1:M)",Core content container
Module,Catalog,modules,Id (Guid),CourseId; Title; DisplayOrder; Description,"Course (M:1); Chapters (1:M)",Groups chapters within course
Chapter,Catalog,chapters,Id (Guid),ModuleId; Title; ContentHtml; DisplayOrder; EstimatedMinutes; VideoId,"Module (M:1); ChapterProgress (1:M); Bookmarks (1:M)",Leaf content unit; optional video
Lecture,Catalog,lectures,Id (Guid),ChapterId; Title; VideoUrl; VideoPlatform; DurationSeconds; DisplayOrder,"Chapter (M:1); VideoProgress (1:M)",Video content; YouTube MVP
Package,Payment,packages,Id (Guid),Name; Slug; Description; PricePKR; PriceUSD; DurationDays; Features (JSONB); IsActive; DisplayOrder,"Subscriptions (1:M)",6 subscription packages
Subscription,Payment,subscriptions,Id (Guid),UserId; PackageId; Status; StartsAt; ExpiresAt; GracePeriodEndsAt; CancelledAt; AutoRenew,"User (M:1); Package (M:1); Payments (1:M)",States: Active; Expired; Cancelled; GracePeriod; PendingPayment
Payment,Payment,payments,Id (Guid),UserId; SubscriptionId; Gateway; GatewayTransactionId; Amount; Currency; Status; PaidAt; FailureReason; WebhookPayload (JSONB),"User (M:1); Subscription (M:1)",Gateways: JazzCash; Easypaisa; Stripe; Manual
Coupon,Payment,coupons,Id (Guid),Code; Type; Value; MaxUses; CurrentUses; ExpiresAt; IsActive; MinPurchaseAmount; ApplicablePackageIds (JSONB),"Payments (1:M)",Types: Percentage; Fixed; FreeTrial
Invoice,Payment,invoices,Id (Guid),PaymentId; UserId; InvoiceNumber; SubTotal; Discount; Tax; Total; IssuedAt; PdfUrl,"Payment (1:1); User (M:1)",Auto-generated on payment
